Bought:, 3/13/2015 12:00:00 AM, 33.919998, 34.00, 33.700001, 34.00, Sold:, 3/23/2015 12:00:00 AM, 34.509998, 35.450001, 34.490002, 35.049999, Low:, 33.700001, Value:, 134.999800
Bought:, 3/25/2015 12:00:00 AM, 34.610001, 35.00, 34.27, 34.299999, Sold:, 4/10/2015 12:00:00 AM, 34.919998, 35.470001, 34.900002, 35.439999, Low:, 34.27, Value:, 116.999900
Bought:, 4/14/2015 12:00:00 AM, 35.049999, 35.310001, 34.91, 35.029999, Sold:, 5/7/2015 12:00:00 AM, 33.439999, 33.75, 33.330002, 33.580002, Low:, 33.209999, Value:, -147.000100
Bought:, 5/12/2015 12:00:00 AM, 33.810001, 33.959999, 33.720001, 33.779999, Sold:, 5/29/2015 12:00:00 AM, 34.48, 34.990002, 34.41, 34.75, Low:, 33.720001, Value:, 102.999900

 Bought:, 6/2/2015 12:00:00 AM, 34.639999, 34.66, 34.349998, 34.490002
 Last:, 6/12/2015 12:00:00 AM, 34.299999, 34.459999, 34.099998, 34.209999
Daily Low:, 6/12/2015 12:00:00 AM, 34.299999, 34.459999, 34.099998, 34.209999
 Date:, 6/12/2015 12:00:00 AM
  Low:, 34.099998
gains:, 354.999600
 loss:, -147.000100
  sum:, 207.999500
